time,open,high,low,close,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Volume,Volume MA,Relative Vol
1661520600,9.56,9.95,8.7001,9.05,10.396052406249067,11.195505119739593,12.997512474168067,15.607013536032735,19.6036507421336,NaN,NaN,NaN,NaN,10.096666666666659,11.524615384615384,11.656190476190472,16.799999999999997,22.404800000000005,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,229441,1052473.7,0.218667963536165
1661779800,9.89,9.89,9,9.45,10.206841924999253,10.94614724549108,12.675011340152787,15.255184191116578,19.205468360089146,NaN,NaN,NaN,NaN,9.851111111111102,11.28,11.630476190476188,16.142647058823528,21.819800000000004,NaN,NaN,NaN,NaN,1,0,0,1,0,0,1,0,0,1,0,0,191780,1040909.55,0.19869533569337636
1661866200,9.44,9.49,9.11,9.42,10.049473539999402,10.728126210420925,12.379101218320717,14.921745094481345,18.821724502830747,NaN,NaN,NaN,NaN,9.775555555555547,10.523846153846153,11.603333333333332,15.430882352941175,21.148200000000003,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,78254,1035929.05,0.082040128489766
1661952600,9.65,9.99,9.28,9.76,9.991578831999522,10.589822466075079,12.141001107564287,14.626788231939553,18.4663627576217,NaN,NaN,NaN,NaN,9.669999999999991,10.209999999999997,11.583333333333329,14.785294117647057,20.5532,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,303279,1046103,0.36769721447172576
1662039000,9.89,10.14,9.28,9.5,9.893263065599617,10.434133542350068,11.900910097785715,14.33382890440015,18.114740688695356,NaN,NaN,NaN,NaN,9.587777777777768,9.923076923076923,11.58523809523809,14.197058823529412,19.858000000000004,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,68907,1044831.6,0.1957620184776027
1662125400,9.34,9.8,9.28,9.49,9.812610452479694,10.299257322014345,11.68173645253247,14.05703868129157,17.77651556364848,NaN,NaN,NaN,NaN,9.529999999999992,9.756153846153847,11.589047619047612,13.628529411764706,19.232800000000005,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,49612,1041133.65,0.16835832646149565
1662471000,9.35,10.185,9.28,9.68,9.786088361983754,10.21079199029801,11.499760411393154,13.806922185217765,17.459005149387757,NaN,NaN,NaN,NaN,9.48888888888888,9.723846153846152,11.56666666666666,13.063529411764705,18.729400000000002,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,120213,775088.9,0.48053786553247474
1662557400,9.52,9.9593,9.4,9.82,9.792870689587003,10.15496456311258,11.347054919448322,13.579098060348178,17.15943632,NaN,NaN,NaN,NaN,9.499999999999993,9.655384615384614,11.054761904761897,12.523529411764704,18.340000000000003,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,47792,709040.25,0.2110167810391194
1662643800,9.59,10.0152,9.51,9.88,9.810296551669603,10.115683911239355,11.213686290407566,13.367721028328281,16.87396822901961,NaN,NaN,NaN,NaN,9.561111111111103,9.627692307692307,10.800952380952372,12.000588235294117,18.043800000000005,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,30255,698698.1,0.19857201792712886
1662730200,10.07,10.9,10.0188,10.74,9.996237241335683,10.204871923919447,11.170623900370515,13.217565540995237,16.633420455332566,NaN,NaN,NaN,NaN,9.748888888888882,9.68384615384615,10.710952380952373,11.674117647058823,17.767400000000002,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,119419,599174.35,0.8674190088943515
1662989400,10.63,11.84,10.63,11.24,10.244989793068546,10.352747363359526,11.17693081851865,13.104561795795508,16.42191377080972,NaN,NaN,NaN,NaN,9.947777777777771,9.775384615384613,10.3295238095238,11.462941176470588,17.4984,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,121473,270833.8,0.9680522966894474
1663075800,11.03,11.35,10.5,10.94,10.383991834454838,10.436640597165308,11.155391653198773,12.980872550321479,16.20693676018973,20.250954166666666,NaN,NaN,NaN,10.116666666666658,9.869230769230768,10.191428571428563,11.290294117647058,17.1212,20.250954166666666,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,74255,231947.05,0.6098021663970304
1663162200,10.7,11.36,10.37,10.89,10.485193467563871,10.501406226141693,11.131265139271612,12.861394118874538,15.998429436260722,19.99448966894977,NaN,NaN,NaN,10.242222222222216,9.989230769230769,10.07999999999999,11.171470588235293,16.641600000000004,20.166231944444448,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,69445,198246.35,0.5886840755638253
1663248600,10.89,11.6,10.38,10.77,10.542154774051097,10.539776765264309,11.098422853883283,12.741885883510278,15.793392987779908,19.741763924594984,NaN,NaN,NaN,10.383333333333326,10.12153846153846,10.037619047619037,11.06941176470588,16.147000000000002,20.090954166666666,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,141896,186376.2,1.206876461478924
1663335000,10.8001,11.48,10.19,10.22,10.477723819240877,10.49409437022655,11.018566230802985,12.597778118738262,15.574828556886578,19.480893680085533,NaN,NaN,NaN,10.464444444444435,10.180769230769231,10.043333333333322,11.076176470588234,15.623800000000001,20.009981944444448,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,77240,136840.4,0.7238890897162978
1663594200,10.68,11.7,10.53,11.37,10.656179055392702,10.61922374590847,11.050514755275442,12.527619369096076,15.409933319361613,19.25867741487771,NaN,NaN,NaN,10.652222222222214,10.330769230769231,10.074761904761894,11.11676470588235,15.118200000000002,19.94080138888889,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,278446,134507.9,2.4664843598741144
1663680600,11.12,12.46,11.11,11.8,10.884943244314162,10.787906067921547,11.11864977752313,12.486041119433443,15.268367306837629,19.054330088442704,NaN,NaN,NaN,10.872222222222213,10.487692307692308,10.14904761904761,11.16441176470588,14.723400000000002,19.856773611111112,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,152310,127516.9,1.2887796139354577
1663767000,11.94,12.9,11.6451,12.29,11.165954595451328,11.002490915361326,11.225136161384663,12.474838769751532,15.151568588922428,18.869005976430575,NaN,NaN,NaN,11.139999999999992,10.702307692307691,10.25761904761904,11.247647058823526,14.333200000000001,19.784273611111114,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,192009,130805.6,1.7418355286689577
1663853400,12.03,12.8,11.4,11.75,11.282763676361062,11.109277927452565,11.272851055804239,12.433419411480015,15.01817374229802,18.67396471680234,NaN,NaN,NaN,11.252222222222214,10.876153846153844,10.33857142857142,11.316470588235292,13.895800000000001,19.65121805555556,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,108791,130111.15,0.9620492231972085
